layer,overall_accuracy,total_samples,acc_afraid,acc_angry,acc_anxious,acc_devastated,acc_lonely,acc_sad,acc_terrified,acc_furious,acc_grateful,acc_hopeful,acc_faithful
0,0.13636363636363635,1100,0.09,0.07,0.25,0.13,0.08,0.28,0.1,0.01,0.11,0.23,0.15
1,0.12181818181818181,1100,0.02,0.0,0.13,0.0,0.1,0.74,0.13,0.01,0.06,0.09,0.06
2,0.12363636363636364,1100,0.02,0.0,0.1,0.0,0.43,0.45,0.12,0.02,0.06,0.11,0.05
3,0.12818181818181817,1100,0.02,0.0,0.09,0.0,0.51,0.35,0.13,0.02,0.06,0.14,0.09
4,0.13363636363636364,1100,0.02,0.01,0.06,0.01,0.32,0.53,0.12,0.02,0.06,0.22,0.1
5,0.14545454545454545,1100,0.02,0.04,0.11,0.02,0.42,0.49,0.11,0.01,0.06,0.23,0.09
6,0.13727272727272727,1100,0.02,0.04,0.07,0.01,0.27,0.6,0.11,0.01,0.06,0.21,0.11
7,0.14454545454545453,1100,0.02,0.06,0.06,0.01,0.53,0.35,0.1,0.02,0.07,0.26,0.11
8,0.13818181818181818,1100,0.02,0.06,0.06,0.01,0.5,0.31,0.09,0.02,0.07,0.27,0.11
9,0.14272727272727273,1100,0.02,0.06,0.07,0.01,0.61,0.23,0.09,0.02,0.06,0.28,0.12
10,0.14454545454545453,1100,0.02,0.06,0.05,0.01,0.57,0.3,0.09,0.01,0.06,0.27,0.15
11,0.14,1100,0.02,0.05,0.05,0.01,0.32,0.53,0.09,0.01,0.07,0.26,0.13
12,0.13454545454545455,1100,0.02,0.04,0.06,0.01,0.55,0.29,0.1,0.01,0.06,0.22,0.12
13,0.1409090909090909,1100,0.04,0.05,0.04,0.01,0.29,0.55,0.09,0.02,0.07,0.27,0.12
14,0.13636363636363635,1100,0.05,0.05,0.02,0.01,0.23,0.62,0.11,0.02,0.07,0.2,0.12
15,0.14181818181818182,1100,0.05,0.06,0.03,0.01,0.2,0.65,0.11,0.01,0.07,0.26,0.11
16,0.14909090909090908,1100,0.06,0.06,0.03,0.01,0.15,0.7,0.11,0.01,0.1,0.28,0.13
17,0.14454545454545453,1100,0.05,0.06,0.04,0.01,0.12,0.71,0.11,0.02,0.07,0.28,0.12
18,0.14181818181818182,1100,0.04,0.07,0.03,0.01,0.14,0.68,0.11,0.02,0.08,0.26,0.12
19,0.14272727272727273,1100,0.04,0.06,0.03,0.01,0.13,0.68,0.11,0.02,0.12,0.26,0.11
20,0.14545454545454545,1100,0.04,0.06,0.02,0.01,0.13,0.69,0.11,0.02,0.09,0.28,0.15
21,0.14454545454545453,1100,0.05,0.06,0.03,0.01,0.1,0.71,0.1,0.02,0.09,0.27,0.15
22,0.14,1100,0.05,0.05,0.03,0.0,0.09,0.7,0.1,0.01,0.1,0.27,0.14
23,0.14272727272727273,1100,0.06,0.05,0.03,0.02,0.1,0.67,0.1,0.01,0.1,0.27,0.16
24,0.14454545454545453,1100,0.05,0.06,0.03,0.0,0.14,0.69,0.1,0.01,0.1,0.27,0.14
25,0.1390909090909091,1100,0.04,0.05,0.02,0.01,0.12,0.69,0.1,0.01,0.1,0.25,0.14
26,0.14545454545454545,1100,0.05,0.03,0.03,0.02,0.11,0.68,0.1,0.01,0.11,0.29,0.17
27,0.14545454545454545,1100,0.06,0.04,0.05,0.02,0.07,0.7,0.09,0.01,0.11,0.29,0.16
28,0.17363636363636364,1100,0.13,0.11,0.1,0.06,0.09,0.29,0.03,0.01,0.16,0.68,0.25
