context,layer,n_prompts,n_utterances,mean_similarity,std_similarity,max_similarity,min_similarity
afraid,0,100,100,0.5251589146017192,0.1385977646917305,0.8321593015594779,-0.028362143820751584
afraid,1,100,100,0.8749414211634953,0.06457321838545747,0.9789445297027617,0.4188925694334878
afraid,2,100,100,0.9990346084442079,0.00097949394742448,0.9999476502177895,0.9928957034070645
afraid,3,100,100,0.9979554420956354,0.0020102678184512356,0.9998794258165249,0.985412329856935
afraid,4,100,100,0.9960266050616383,0.0035780297656835443,0.9998099578271002,0.9752676860139431
afraid,5,100,100,0.9941443383091386,0.004987395789119021,0.9997327073749536,0.9652973612804122
afraid,6,100,100,0.9925506015727391,0.0065489647185899445,0.9996923665327649,0.9558720523773814
afraid,7,100,100,0.9908948199387667,0.0075881192159941,0.9996863152210647,0.9514946970171587
afraid,8,100,100,0.9884698254087713,0.00967007839811842,0.9996250565137066,0.9399301270920014
afraid,9,100,100,0.9871381250864977,0.011167703832608173,0.9995914145536274,0.9273153857404334
afraid,10,100,100,0.9857854788467847,0.01269860124967876,0.9996046724329695,0.9168742700601316
afraid,11,100,100,0.9864012713846642,0.012005157761722488,0.999610491048368,0.9231038268612953
afraid,12,100,100,0.9814429131203,0.016879958874004692,0.9995250245589515,0.8841318194087854
afraid,13,100,100,0.9793936164419597,0.018684559777003767,0.9994976834043702,0.8787274593040009
afraid,14,100,100,0.9762703560019399,0.021392577518045918,0.9994275131467146,0.8604711555487073
afraid,15,100,100,0.968855940490351,0.026533174555064192,0.9992078727309502,0.8281372034783017
afraid,16,100,100,0.9626478924685241,0.029700244626203517,0.998992440477089,0.8080697902546521
afraid,17,100,100,0.9573254169442597,0.03283630078850114,0.9987330620917453,0.788990469854744
afraid,18,100,100,0.9544144948694551,0.0338771476032505,0.9985476387169452,0.7764571709788823
afraid,19,100,100,0.9504411939299489,0.03595757657469429,0.9983066538650934,0.7602477165377873
afraid,20,100,100,0.9387641638288418,0.04266750042320611,0.9979061210609768,0.7110817438151188
afraid,21,100,100,0.9298890782288801,0.047122222146676995,0.9974730546207556,0.6819170878603293
afraid,22,100,100,0.9243007924617467,0.0487595282655691,0.9971191009176179,0.6522445310324074
afraid,23,100,100,0.9192999309509847,0.04978714064635523,0.996681071267709,0.6332770670838992
afraid,24,100,100,0.9147722498256168,0.049847609897931966,0.9963842682764658,0.6151180386431531
afraid,25,100,100,0.9078318321044874,0.05203409287091833,0.9958160990619049,0.5854803707035365
afraid,26,100,100,0.8970265740219034,0.0544551961614974,0.9948450402663992,0.5778022642154096
afraid,27,100,100,0.8790293652916087,0.06117977571797834,0.993362846256794,0.5278269869482546
afraid,28,100,100,0.8002302235107548,0.06364429958955488,0.9580280359949293,0.3529184420850339
angry,0,100,100,0.4810427773242348,0.14544855159424766,0.8290910698184585,-0.2015647036658702
angry,1,100,100,0.867863346129173,0.06983101851418992,0.9833012361566449,0.32233717108053317
angry,2,100,100,0.9987989423196425,0.0018891229225117712,0.999946491404023,0.9823645270534596
angry,3,100,100,0.997485493637867,0.003806013840730365,0.9998933006523866,0.9644104174234173
angry,4,100,100,0.9952481163949768,0.006483967009855217,0.9998121458146323,0.9403791732752502
angry,5,100,100,0.993046237325239,0.008591036175572902,0.9997668020877339,0.9217688179377068
angry,6,100,100,0.9911728331625769,0.010925748669413858,0.9997284480156713,0.9025596935529785
angry,7,100,100,0.9894819728991577,0.011995581451504188,0.9996659913252268,0.89711402155741
angry,8,100,100,0.9867723593878281,0.014873517636143736,0.9996511990783549,0.8730841292260176
angry,9,100,100,0.9853886152837865,0.016345748947592477,0.9995995979192737,0.86151163344699
angry,10,100,100,0.9838528685804209,0.018681580749400576,0.9996124631422947,0.8408069296184069
angry,11,100,100,0.9843843169929609,0.018096740416357483,0.9996015663329798,0.8449966422645693
angry,12,100,100,0.9789470860649453,0.024072369053902302,0.9995228416294,0.7864372241938707
angry,13,100,100,0.9767360838721927,0.026041970389178146,0.9994837082312764,0.7789894367688641
angry,14,100,100,0.9729016349616606,0.03003619758159289,0.9994076690218732,0.7469352560839879
angry,15,100,100,0.965032281701299,0.035991546646232365,0.9991468755693205,0.7009601338549918
angry,16,100,100,0.9583452231813396,0.04001781885594264,0.9988630961462189,0.6755063340385519
angry,17,100,100,0.9524300389296796,0.04295541485669868,0.9986625129977242,0.6483328046319201
angry,18,100,100,0.949746305911716,0.04338613627414174,0.9983945426142655,0.6387203966933371
angry,19,100,100,0.9456031784042372,0.04548424183452272,0.9980913537677302,0.6153704649941891
angry,20,100,100,0.9328601726216442,0.051789414677037855,0.9975445702990714,0.565230871716572
angry,21,100,100,0.9236059936839404,0.055730172420792326,0.9970445469940817,0.5286523335017073
angry,22,100,100,0.9178757550657015,0.05676316093847371,0.9966413319038165,0.5097374274555216
angry,23,100,100,0.9125526189298695,0.05744292305958279,0.9961022366882659,0.5020701738577281
angry,24,100,100,0.9079333506299619,0.057089590872193036,0.9955507275685896,0.4926959393002845
angry,25,100,100,0.9007877576109263,0.059244996236685915,0.9948258550928453,0.4664236826874681
angry,26,100,100,0.8896626637205644,0.06157626742815582,0.9940117801736608,0.4553237436517659
angry,27,100,100,0.870753938141778,0.06808039903327856,0.9925948385755553,0.4124357517171658
angry,28,100,100,0.7939592041192614,0.05929995802481146,0.9649011092691451,0.47215256764519786
anxious,0,100,100,0.5392678397022712,0.13177589752866006,0.8989505191699267,0.093586345351755
anxious,1,100,100,0.8756903912641918,0.06307638762812569,0.992510578561823,0.36872627619601794
anxious,2,100,100,0.9989908602340207,0.0010366156770313566,0.9999837503669272,0.9906862215682319
